DATE: 2018/06/07
TIME: 07:10:26
Frequency(Hz),	I(V),	Q(V)
355532798.00,-0.228564,-0.288697
355532898.00,-0.228525,-0.288891
355532999.00,-0.228642,-0.288990
355533099.00,-0.228768,-0.288888
355533200.00,-0.228511,-0.288852
355533300.00,-0.228594,-0.289045
355533401.00,-0.229304,-0.288245
355533501.00,-0.228986,-0.288333
355533602.00,-0.229112,-0.288357
355533702.00,-0.229210,-0.288110
355533803.00,-0.229220,-0.287699
355533903.00,-0.229683,-0.288489
355534004.00,-0.229969,-0.287957
355534104.00,-0.230395,-0.288340
355534205.00,-0.230933,-0.287886
355534305.00,-0.230314,-0.288007
355534406.00,-0.230183,-0.287762
355534506.00,-0.230109,-0.288019
355534607.00,-0.230848,-0.287641
355534707.00,-0.231196,-0.288233
355534808.00,-0.231062,-0.287705
355534908.00,-0.231352,-0.287538
355535009.00,-0.231364,-0.287165
355535109.00,-0.231290,-0.287400
355535210.00,-0.231845,-0.287077
355535310.00,-0.231620,-0.287167
355535411.00,-0.232172,-0.287186
355535511.00,-0.232322,-0.287387
355535612.00,-0.232363,-0.287299
355535712.00,-0.232184,-0.287051
355535813.00,-0.232928,-0.286339
355535913.00,-0.232935,-0.286350
355536014.00,-0.233345,-0.286254
355536114.00,-0.233289,-0.285828
355536215.00,-0.233619,-0.285652
355536315.00,-0.233711,-0.285687
355536416.00,-0.234118,-0.285746
355536516.00,-0.234297,-0.285410
355536617.00,-0.233798,-0.285492
355536717.00,-0.234347,-0.285426
355536818.00,-0.234208,-0.285409
355536918.00,-0.234644,-0.285414
355537019.00,-0.235282,-0.284658
355537119.00,-0.235337,-0.284358
355537220.00,-0.235901,-0.284655
355537320.00,-0.235734,-0.284431
355537421.00,-0.235639,-0.283931
355537521.00,-0.236457,-0.283368
355537622.00,-0.236592,-0.283284
355537722.00,-0.236765,-0.283720
355537823.00,-0.237296,-0.283398
355537923.00,-0.237861,-0.282688
355538024.00,-0.237889,-0.282306
355538124.00,-0.237805,-0.282078
355538225.00,-0.238766,-0.281972
355538325.00,-0.238942,-0.281383
355538426.00,-0.239122,-0.281132
355538526.00,-0.238985,-0.280575
355538627.00,-0.239082,-0.280718
355538727.00,-0.239621,-0.280721
355538828.00,-0.239579,-0.280173
355538928.00,-0.240100,-0.279822
355539029.00,-0.240310,-0.279312
355539129.00,-0.240556,-0.278633
355539230.00,-0.240867,-0.278841
355539330.00,-0.241673,-0.278453
355539431.00,-0.241847,-0.278208
355539531.00,-0.242819,-0.277943
355539632.00,-0.243068,-0.277125
355539732.00,-0.243678,-0.276920
