DATE: 2018/06/07
TIME: 06:52:27
Frequency(Hz),	I(V),	Q(V)
354544086.00,-0.144881,-0.295953
354595368.00,-0.145662,-0.298572
354646650.00,-0.146805,-0.300554
354697932.00,-0.148342,-0.303459
354749214.00,-0.149344,-0.305592
354800496.00,-0.150177,-0.307862
354851778.00,-0.151475,-0.310131
354903060.00,-0.152594,-0.312144
354954342.00,-0.154058,-0.313852
355005624.00,-0.155685,-0.316383
355056906.00,-0.157396,-0.318070
355108188.00,-0.158535,-0.320355
355159470.00,-0.160431,-0.322771
355210752.00,-0.162441,-0.324321
355262034.00,-0.164447,-0.326493
355313316.00,-0.166447,-0.328105
355364598.00,-0.168401,-0.330487
355415880.00,-0.171255,-0.332336
355467162.00,-0.174750,-0.333447
355518444.00,-0.185382,-0.332652
355569727.00,-0.159797,-0.339013
355621009.00,-0.171602,-0.340041
355672291.00,-0.175288,-0.341605
355723573.00,-0.177999,-0.343114
355774855.00,-0.180793,-0.345126
355826137.00,-0.183255,-0.346273
355877419.00,-0.185540,-0.347584
355928701.00,-0.187784,-0.348994
355979983.00,-0.189905,-0.350391
356031265.00,-0.192251,-0.351977
356082547.00,-0.194364,-0.353316
356133829.00,-0.197009,-0.354310
356185111.00,-0.199653,-0.355792
356236393.00,-0.201777,-0.356880
356287675.00,-0.204745,-0.357696
356338957.00,-0.206641,-0.358762
356390239.00,-0.209797,-0.359977
356441521.00,-0.212258,-0.360612
356492803.00,-0.214551,-0.361451
356544086.00,-0.217125,-0.362456
