DATE: 2018/06/07
TIME: 07:00:25
Frequency(Hz),	I(V),	Q(V)
331584081.00,-0.359346,-0.251820
331586645.00,-0.359167,-0.251572
331589209.00,-0.358655,-0.251212
331591773.00,-0.358667,-0.250823
331594337.00,-0.358055,-0.250394
331596901.00,-0.357941,-0.250192
331599465.00,-0.357641,-0.249903
331602029.00,-0.356889,-0.249534
331604593.00,-0.356589,-0.248995
331607157.00,-0.356040,-0.248835
331609722.00,-0.355427,-0.248022
331612286.00,-0.354186,-0.247610
331614850.00,-0.352963,-0.247013
331617414.00,-0.351721,-0.246081
331619978.00,-0.350402,-0.245668
331622542.00,-0.348571,-0.244933
331625106.00,-0.345603,-0.243947
331627670.00,-0.342226,-0.243017
331630234.00,-0.336427,-0.241292
331632798.00,-0.328076,-0.240148
331635363.00,-0.312688,-0.240181
331637927.00,-0.280196,-0.247342
331640491.00,-0.226119,-0.353963
331643055.00,-0.381020,-0.382462
331645619.00,-0.403836,-0.314573
331648183.00,-0.397128,-0.287667
331650747.00,-0.390452,-0.276134
331653311.00,-0.385707,-0.269901
331655875.00,-0.382777,-0.265600
331658439.00,-0.380352,-0.263565
331661004.00,-0.379042,-0.261508
331663568.00,-0.377501,-0.260017
331666132.00,-0.376266,-0.258543
331668696.00,-0.375189,-0.257741
331671260.00,-0.374255,-0.257198
331673824.00,-0.373480,-0.256782
331676388.00,-0.373019,-0.255589
331678952.00,-0.372929,-0.255316
331681516.00,-0.371903,-0.254661
331684081.00,-0.371019,-0.253792
