DATE: 2018/06/07
TIME: 06:49:47
Frequency(Hz),	I(V),	Q(V)
342000000.00,-0.219820,-0.351951
342008163.00,-0.221252,-0.351999
342016326.00,-0.222113,-0.351669
342024489.00,-0.221960,-0.352317
342032653.00,-0.222662,-0.351785
342040816.00,-0.222983,-0.352691
342048979.00,-0.223320,-0.350951
342057142.00,-0.224671,-0.351469
342065306.00,-0.224807,-0.351608
342073469.00,-0.224871,-0.351482
342081632.00,-0.225375,-0.351648
342089795.00,-0.227317,-0.351726
342097959.00,-0.227025,-0.350346
342106122.00,-0.227157,-0.350875
342114285.00,-0.228641,-0.351020
342122448.00,-0.228583,-0.351677
342130612.00,-0.230166,-0.350190
342138775.00,-0.230833,-0.349636
342146938.00,-0.230613,-0.348825
342155102.00,-0.232217,-0.348498
342163265.00,-0.233153,-0.347332
342171428.00,-0.235652,-0.345999
342179591.00,-0.237633,-0.344901
342187755.00,-0.240758,-0.340894
342195918.00,-0.247265,-0.329322
342204081.00,-0.253177,-0.267434
342212244.00,-0.163966,-0.381571
342220408.00,-0.207847,-0.370992
342228571.00,-0.217948,-0.364730
342236734.00,-0.221349,-0.362841
342244897.00,-0.223966,-0.360007
342253061.00,-0.225595,-0.359807
342261224.00,-0.227699,-0.358825
342269387.00,-0.229086,-0.358417
342277551.00,-0.229270,-0.357819
342285714.00,-0.230306,-0.358283
342293877.00,-0.230278,-0.358253
342302040.00,-0.231511,-0.357737
342310204.00,-0.232093,-0.358360
342318367.00,-0.232442,-0.357294
342326530.00,-0.232753,-0.357315
342334693.00,-0.234234,-0.357226
342342857.00,-0.233858,-0.357041
342351020.00,-0.234094,-0.356772
342359183.00,-0.236145,-0.356490
342367346.00,-0.235995,-0.357901
342375510.00,-0.236912,-0.357015
342383673.00,-0.236330,-0.356595
342391836.00,-0.236754,-0.356124
342400000.00,-0.237701,-0.356579
