#date,scan label,Tstage,TBB
'20180305','noise13',210,6.4
'20180305','noise15',215,6.75
'20180305','noise17',215,7.1
'20180306','noise0',215,6.75
'20180307','noise0',215,7.1
'20180307','noise01',215,7.6
'20180307','noise02',215,8.1
'20180307','noise03',215,8.7
'20180307','noise04',215,9.3
'20180307','noise05',215,10.2
'20180307','noise06',215,11.1
'20180309','noise0',215,6.4
'20180309','noise03',215,6.4
'20180309','noise04',215,6.4
'20180309','noise05',215,6.4
'20180309','noise06',215,6.4
'20180309','noise07',215,6.4
'20180312','noise0',215,6.5
'20180312','noise02',215,6.75
'20180312','noise04',215,7.1
'20180312','noise06',215,7.6
'20180312','noise10',215,8.7
'20180312','noise12',215,9.3
'20180308','noise01',240,6.4
'20180308','noise02',240,6.75
'20180308','noise03',240,7.1
'20180308','noise04',240,7.6
'20180308','noise05',240,8.1
'20180308','noise07',240,8.7
'20180308','noise09',240,9.3
'20180308','noise11',240,10.2
'20180308','noise13',240,11.2
'20180308','noise15',240,12.6
